customer_id,event_timestamp,engagement_score,days_since_last_contact,total_conversations,open_tickets
cust_001,2024-06-01T00:00:00,0.72,3,14,1
cust_001,2024-06-03T00:00:00,0.72,3,14,1
cust_002,2024-06-01T00:00:00,0.93,1,31,0
cust_002,2024-06-03T00:00:00,0.93,1,31,0
cust_003,2024-06-01T00:00:00,0.18,22,6,3
cust_003,2024-06-03T00:00:00,0.18,22,6,3
cust_004,2024-06-01T00:00:00,0.612,0,48,0
cust_004,2024-06-03T00:00:00,0.474,5,48,0
cust_005,2024-06-01T00:00:00,0.814,2,38,0
cust_005,2024-06-03T00:00:00,0.579,1,39,0
cust_006,2024-06-01T00:00:00,0.121,6,46,0
cust_006,2024-06-03T00:00:00,0.143,1,49,0
cust_007,2024-06-01T00:00:00,0.748,0,49,0
cust_007,2024-06-03T00:00:00,0.847,2,51,0
cust_008,2024-06-01T00:00:00,0.866,10,7,0
cust_008,2024-06-03T00:00:00,0.664,2,11,0
cust_009,2024-06-01T00:00:00,0.135,14,35,0
cust_009,2024-06-03T00:00:00,0.346,0,39,0
cust_010,2024-06-01T00:00:00,0.603,28,24,0
cust_010,2024-06-03T00:00:00,0.705,0,25,0
cust_011,2024-06-01T00:00:00,0.888,27,15,0
cust_011,2024-06-03T00:00:00,0.828,3,17,0
cust_012,2024-06-01T00:00:00,0.384,21,18,0
cust_012,2024-06-03T00:00:00,0.476,0,22,0
cust_013,2024-06-01T00:00:00,0.527,7,11,0
cust_013,2024-06-03T00:00:00,0.412,5,15,0
cust_014,2024-06-01T00:00:00,0.359,24,50,0
cust_014,2024-06-03T00:00:00,0.52,2,53,0
cust_015,2024-06-01T00:00:00,0.269,30,37,1
cust_015,2024-06-03T00:00:00,0.176,5,40,0
cust_016,2024-06-01T00:00:00,0.832,14,10,0
cust_016,2024-06-03T00:00:00,0.705,4,14,0
cust_017,2024-06-01T00:00:00,0.568,28,38,0
cust_017,2024-06-03T00:00:00,0.428,1,42,0
cust_018,2024-06-01T00:00:00,0.705,27,8,0
cust_018,2024-06-03T00:00:00,0.535,5,11,0
cust_019,2024-06-01T00:00:00,0.408,19,30,0
cust_019,2024-06-03T00:00:00,0.644,0,30,0
cust_020,2024-06-01T00:00:00,0.53,8,50,0
cust_020,2024-06-03T00:00:00,0.336,3,51,0
